		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	396	0,49215	0,080033	0,0000
1	397	0,49411	0,07985	0,0000
1	398	0,49607	0,079665	0,0000
1	399	0,49804	0,079479	0,0000
1	400	0,5	0,079292	0,0000
1	401	0,50196	0,079104	0,0000
1	402	0,50393	0,078914	0,0000
1	403	0,50589	0,078723	0,0000
1	404	0,50785	0,078531	0,0000
1	405	0,50982	0,078338	0,0000
1	406	0,51178	0,078143	0,0000
1	407	0,51374	0,077947	0,0000
1	408	0,51571	0,07775	0,0000
1	409	0,51767	0,077552	0,0000
1	410	0,51963	0,077352	0,0000
1	411	0,52159	0,077152	0,0000
1	412	0,52355	0,07695	0,0000
1	413	0,52551	0,076747	0,0000
1	414	0,52748	0,076543	0,0000
1	415	0,52944	0,076337	0,0000
1	416	0,5314	0,076131	0,0000
1	417	0,53335	0,075923	0,0000
1	418	0,53531	0,075715	0,0000
1	419	0,53727	0,075505	0,0000
1	420	0,53923	0,075294	0,0000
1	421	0,54119	0,075082	0,0000
1	422	0,54314	0,074869	0,0000
1	423	0,5451	0,074655	0,0000
1	424	0,54705	0,07444	0,0000
1	425	0,54901	0,074224	0,0000
1	426	0,55096	0,074006	0,0000
1	427	0,55292	0,073788	0,0000
1	428	0,55487	0,073569	0,0000
1	429	0,55682	0,073349	0,0000
1	430	0,55877	0,073127	0,0000
1	431	0,56072	0,072905	0,0000
1	432	0,56267	0,072682	0,0000
1	433	0,56461	0,072458	0,0000
1	434	0,56656	0,072233	0,0000
1	435	0,56851	0,072007	0,0000
1	436	0,57045	0,07178	0,0000
1	437	0,57239	0,071552	0,0000
1	438	0,57434	0,071323	0,0000
1	439	0,57628	0,071094	0,0000
1	440	0,57822	0,070863	0,0000
1	441	0,58016	0,070632	0,0000
1	442	0,58209	0,0704	0,0000
1	443	0,58403	0,070166	0,0000
1	444	0,58596	0,069932	0,0000
1	445	0,5879	0,069698	0,0000
1	446	0,58983	0,069462	0,0000
1	447	0,59176	0,069226	0,0000
1	448	0,59369	0,068988	0,0000
1	449	0,59562	0,06875	0,0000
1	450	0,59755	0,068511	0,0000
1	451	0,59947	0,068272	0,0000
1	452	0,60139	0,068031	0,0000
1	453	0,60332	0,06779	0,0000
1	454	0,60524	0,067548	0,0000
1	455	0,60715	0,067306	0,0000
1	456	0,60907	0,067062	0,0000
1	457	0,61099	0,066818	0,0000
1	458	0,6129	0,066573	0,0000
1	459	0,61481	0,066328	0,0000
1	460	0,61672	0,066082	0,0000
1	461	0,61863	0,065835	0,0000
1	462	0,62054	0,065587	0,0000
1	463	0,62244	0,065339	0,0000
1	464	0,62434	0,065091	0,0000
1	465	0,62625	0,064841	0,0000
1	466	0,62814	0,064591	0,0000
1	467	0,63004	0,06434	0,0000
1	468	0,63194	0,064089	0,0000
1	469	0,63383	0,063837	0,0000
1	470	0,63572	0,063585	0,0000
1	471	0,63761	0,063331	0,0000
1	472	0,6395	0,063078	0,0000
1	473	0,64138	0,062824	0,0000
1	474	0,64326	0,062569	0,0000
1	475	0,64514	0,062314	0,0000
1	476	0,64702	0,062058	0,0000
1	477	0,6489	0,061801	0,0000
1	478	0,65077	0,061545	0,0000
1	479	0,65264	0,061287	0,0000
1	480	0,65451	0,061029	0,0000
1	481	0,65637	0,060771	0,0000
1	482	0,65824	0,060512	0,0000
1	483	0,6601	0,060253	0,0000
1	484	0,66196	0,059993	0,0000
1	485	0,66382	0,059733	0,0000
1	486	0,66567	0,059472	0,0000
1	487	0,66752	0,059211	0,0000
1	488	0,66937	0,05895	0,0000
1	489	0,67122	0,058688	0,0000
1	490	0,67306	0,058425	0,0000
1	491	0,6749	0,058163	0,0000
1	492	0,67674	0,0579	0,0000
1	493	0,67857	0,057636	0,0000
1	494	0,68041	0,057372	0,0000
1	495	0,68224	0,057108	0,0000
1	496	0,68406	0,056844	0,0000
1	497	0,68589	0,056579	0,0000
1	498	0,68771	0,056314	0,0000
1	499	0,68953	0,056048	0,0000
1	500	0,69134	0,055782	0,0000
1	501	0,69315	0,055516	0,0000
1	502	0,69496	0,05525	0,0000
1	503	0,69677	0,054983	0,0000
1	504	0,69857	0,054716	0,0000
1	505	0,70037	0,054449	0,0000
1	506	0,70217	0,054182	0,0000
1	507	0,70397	0,053914	0,0000
1	508	0,70576	0,053646	0,0000
1	509	0,70755	0,053378	0,0000
1	510	0,70933	0,05311	0,0000
1	511	0,71111	0,052841	0,0000
1	512	0,71289	0,052572	0,0000
1	513	0,71466	0,052303	0,0000
1	514	0,71644	0,052034	0,0000
1	515	0,7182	0,051765	0,0000
1	516	0,71997	0,051495	0,0000
1	517	0,72173	0,051225	0,0000
1	518	0,72349	0,050956	0,0000
1	519	0,72524	0,050686	0,0000
1	520	0,727	0,050416	0,0000
1	521	0,72874	0,050145	0,0000
1	522	0,73049	0,049875	0,0000
1	523	0,73223	0,049605	0,0000
1	524	0,73396	0,049334	0,0000
1	525	0,7357	0,049064	0,0000
1	526	0,73743	0,048793	0,0000
1	527	0,73915	0,048522	0,0000
1	528	0,74088	0,048251	0,0000
1	529	0,7426	0,047981	0,0000
1	530	0,74431	0,04771	0,0000
1	531	0,74602	0,047439	0,0000
1	532	0,74773	0,047168	0,0000
1	533	0,74943	0,046897	0,0000
1	534	0,75113	0,046626	0,0000
1	535	0,75283	0,046355	0,0000
1	536	0,75452	0,046084	0,0000
1	537	0,75621	0,045813	0,0000
1	538	0,75789	0,045542	0,0000
1	539	0,75957	0,045271	0,0000
1	540	0,76125	0,045001	0,0000
1	541	0,76292	0,04473	0,0000
1	542	0,76459	0,044459	0,0000
1	543	0,76625	0,044188	0,0000
1	544	0,76791	0,043918	0,0000
1	545	0,76957	0,043647	0,0000
1	546	0,77122	0,043377	0,0000
1	547	0,77287	0,043107	0,0000
1	548	0,77451	0,042837	0,0000
1	549	0,77615	0,042567	0,0000
1	550	0,77779	0,042297	0,0000
1	551	0,77942	0,042027	0,0000
1	552	0,78104	0,041757	0,0000
1	553	0,78266	0,041488	0,0000
1	554	0,78428	0,041219	0,0000
1	555	0,78589	0,04095	0,0000
1	556	0,7875	0,040681	0,0000
1	557	0,78911	0,040412	0,0000
1	558	0,79071	0,040143	0,0000
1	559	0,7923	0,039875	0,0000
1	560	0,79389	0,039607	0,0000
1	561	0,79548	0,039339	0,0000
1	562	0,79706	0,039071	0,0000
1	563	0,79864	0,038804	0,0000
1	564	0,80021	0,038537	0,0000
